run,no_ruin
1,False
2,True
3,True
4,False
5,True
6,True
7,False
8,True
9,True
10,True
11,True
12,True
13,False
14,True
15,True
16,False
17,True
18,False
19,False
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,False
28,True
29,False
30,False
31,True
32,True
33,True
34,True
35,False
36,True
37,True
38,True
39,True
40,True
41,True
42,False
43,True
44,True
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,False
53,True
54,True
55,False
56,True
57,False
58,True
59,True
60,False
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,False
70,False
71,True
72,True
73,True
74,False
75,True
76,False
77,True
78,True
79,True
80,True
81,True
82,False
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,False
95,True
96,True
97,False
98,False
99,True
100,True
101,True
102,True
103,False
104,True
105,True
106,False
107,True
108,True
109,False
110,True
111,False
112,True
113,False
114,True
115,True
116,True
117,False
118,True
119,True
120,True
121,True
122,False
123,False
124,True
125,True
126,True
127,True
128,False
129,False
130,True
131,False
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,False
142,True
143,True
144,True
145,False
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,False
154,True
155,False
156,True
157,True
158,False
159,False
160,True
161,True
162,True
163,True
164,False
165,True
166,True
167,False
168,True
169,False
170,False
171,True
172,False
173,True
174,True
175,True
176,True
177,True
178,True
179,True
180,True
181,True
182,True
183,True
184,False
185,True
186,True
187,True
188,True
189,True
190,False
191,False
192,True
193,True
194,True
195,True
196,True
197,False
198,True
199,True
200,True
201,True
202,True
203,False
204,True
205,False
206,True
207,True
208,True
209,True
210,False
211,True
212,True
213,True
214,True
215,True
216,False
217,True
218,True
219,True
220,True
221,False
222,True
223,False
224,True
225,True
226,True
227,False
228,False
229,True
230,True
231,False
232,True
233,True
234,True
235,True
236,True
237,True
238,False
239,True
240,False
241,True
242,True
243,False
244,True
245,True
246,False
247,True
248,False
249,True
250,True
251,True
252,True
253,True
254,True
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,False
265,True
266,True
267,False
268,True
